Epoch,Loss,Accuracy
0,1.943884253501892,0.296
1,1.9418855905532837,0.288
2,1.9330623149871826,0.352
3,1.9266985654830933,0.37
4,1.9211007356643677,0.398
5,1.912451148033142,0.498
6,1.8956488370895386,0.584
7,1.8924599885940552,0.642
8,1.8795744180679321,0.668
9,1.878061294555664,0.67
10,1.855225682258606,0.706
11,1.8432549238204956,0.712
12,1.8545715808868408,0.746
13,1.8258002996444702,0.748
14,1.8362371921539307,0.738
15,1.8022747039794922,0.73
16,1.7554924488067627,0.72
17,1.8006210327148438,0.72
18,1.7956762313842773,0.726
19,1.7710412740707397,0.726
20,1.778197169303894,0.724
21,1.7554367780685425,0.728
22,1.7220951318740845,0.732
23,1.7112866640090942,0.744
24,1.7163141965866089,0.756
25,1.6894526481628418,0.78
26,1.695823073387146,0.778
27,1.6833791732788086,0.778
28,1.6607040166854858,0.784
29,1.6600903272628784,0.786
30,1.608962059020996,0.784
31,1.6182842254638672,0.788
32,1.6393588781356812,0.79
33,1.6411004066467285,0.786
34,1.6130199432373047,0.8
35,1.5800912380218506,0.798
36,1.5928319692611694,0.792
37,1.5086839199066162,0.792
38,1.5420124530792236,0.794
39,1.507176399230957,0.792
40,1.5129835605621338,0.794
41,1.5323976278305054,0.794
42,1.498323917388916,0.794
43,1.4470272064208984,0.798
44,1.3938629627227783,0.792
45,1.396052598953247,0.794
46,1.4675606489181519,0.796
47,1.4053585529327393,0.79
48,1.370215892791748,0.786
49,1.3749905824661255,0.786
